[16:40:24] Using gulpfile C:\Code\GLS\gulpfile.js
[16:40:24] Starting 'tslint'...
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/BlockEndCommand.ts[1, 10]: unused variable: 'Language'
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/BlockEndCommand.ts[4, 10]: unused variable: 'Parameter'
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/BlockEndCommand.ts[5, 10]: unused variable: 'SingleParameter'
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/BlockEndCommand.ts[6, 10]: unused variable: 'RepeatingParameters'
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/BreakCommand.ts[1, 10]: unused variable: 'Language'
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/ClassStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/ClassStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/Command.ts[6, 10]: unused variable: 'RepeatingParameters'
[16:40:28] [gulp-tslint] error (no-unused-variable) gls/commands/Command.ts[8, 10]: unused variable: 'SingleParameter'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/CommandsBag.ts[2, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/CommandsBag.ts[4, 10]: unused variable: 'CommandResult'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/CommentBlockCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/CommentBlockEndCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/CommentBlockStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/CommentDocEndCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/CommentDocStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/CommentDocTagCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (one-variable-per-declaration) gls/commands/CommentDocTagCommand.ts[58, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:29] [gulp-tslint] error (one-variable-per-declaration) gls/commands/CommentDocTagCommand.ts[79, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:29] [gulp-tslint] error (one-variable-per-declaration) gls/commands/CommentDocTagCommand.ts[100, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:29] [gulp-tslint] error (one-variable-per-declaration) gls/commands/CommentDocTagCommand.ts[131, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:29] [gulp-tslint] error (one-variable-per-declaration) gls/commands/CommentDocTagCommand.ts[173, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:29] [gulp-tslint] error (one-variable-per-declaration) gls/commands/CommentDocTagCommand.ts[204, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:29] [gulp-tslint] error (one-variable-per-declaration) gls/commands/CommentLineCommand.ts[37, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/ConcatenateCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/ConstructorStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (one-variable-per-declaration) gls/commands/ConstructorStartCommand.ts[40, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/ContinueCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/DictionaryNewCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/DictionaryNewEndCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/DictionaryNewStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/DictionaryPairCommand.ts[1, 10]: unused variable: 'Language'
[16:40:29] [gulp-tslint] error (no-unused-variable) gls/commands/DictionaryPairCommand.ts[3, 10]: unused variable: 'CommandResult'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/DictionaryTypeCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ElseIfStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/ElseIfStartCommand.ts[33, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ElseStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ElseStartCommand.ts[18, 13]: unused variable: 'indentation'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/ElseStartCommand.ts[17, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/EnumCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/EnumCommand.ts[3, 10]: unused variable: 'CommandResult'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/EnumCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/EnumMemberCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/EnumMemberCommand.ts[6, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/EnumStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/EnumStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/FileEndCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/FileEndCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/FileEndCommand.ts[34, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/FileStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/FileStartCommand.ts[33, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForEachKeyStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForEachKeyStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/ForEachKeyStartCommand.ts[67, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForEachPairStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/ForEachPairStartCommand.ts[71, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForNumbersStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForNumbersStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/FunctionStartCommand.ts[39, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/IfStartCommand.ts[1, 10]: unused variable: 'Language'
